image_url,labels,labels_crops,source,status,img_path
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/47db5b94-859f-5c90-9fdf-46a795503b3d.jpg,calf,"[118, 55, 505, 827]","merit_training_data,Existing Data,,merit_instock_dump",train,/ofs/images/tf_images/bc914e0b-7738-5a9b-bc73-6c616fdad063.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4d801886-f047-5700-97a9-d8e67cd4784e.jpg,thigh,"[256, 140, 520, 602]","merit_training_data,Existing Data,,merit_instock_dump",train,/ofs/images/tf_images/07eea2e0-5c42-505a-9c5a-15944ddb3f5f.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/067cfa36-ff71-5bd9-9fd0-d155d1a6d1b4.jpg,thigh,"[102, 1, 382, 636]","Existing Data,,farfetch",train,/ofs/images/tf_images/95dadd0c-0a2b-55ea-ac74-c50d12279c54.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d6d41d55-35ae-5cfb-9d16-cff3f86de453.jpg,knee,"[93, 2, 391, 635]","moad,Existing Data,,farfetch_data",train,/ofs/images/tf_images/7025286b-565b-5269-abbe-ae5c12c72e9a.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/bd07fb37-84b1-555f-8b3f-8bb857c4f592.jpg,ankle,"[101, 7, 376, 638]","Existing Data,,farfetch",val,/ofs/images/tf_images/79d2ae46-b346-5d0c-80ef-12244dc52137.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/359dea87-44e4-5f5d-94fb-a273c2d2b5fb.jpg,knee,"[65, 7, 413, 638]","moad,Existing Data,,farfetch_data",train,/ofs/images/tf_images/14662de1-946e-569c-8c66-5f01e2434cae.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1eea62df-7ddd-5ffa-a968-c0e3fe4250c4.jpg,knee,"[120, 4, 352, 637]","Existing Data,,farfetch_data",train,/ofs/images/tf_images/cae23af4-300f-509b-b7e6-fbf5f13c73f1.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c19f2745-84dd-5685-ab5d-e2b8e7ac489f.jpg,thigh,"[120, 5, 368, 387]","Existing Data,,farfetch_data",train,/ofs/images/tf_images/8f3114e9-0928-516a-b47e-39b30aa03c88.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/0657bbb0-5dd4-55ab-98b1-b10dc3f4c180.jpg,calf,"[215, 14, 604, 768]","Existing Data,,old_yolo_data",train,/ofs/images/tf_images/541580b3-9f52-5b05-ac0d-43586d96d700.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/fbc1eb4b-c24a-5ce1-a414-a7f763c3102e.jpg,knee,"[248, 120, 568, 867]","Existing Data,,old_yolo_data",train,/ofs/images/tf_images/99c88cfa-28ba-5df1-82c1-b06bd98c0935.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/cd43a062-4273-5c4f-a41e-4e07b44da79d.jpg,knee,"[127, 18, 564, 936]","Existing Data,,old_yolo_data",train,/ofs/images/tf_images/458103e3-2cf0-5e0f-8a8f-1c9897bb315d.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5f440bc1-7b2c-52b7-af75-2696e30276bc.jpg,ankle,"[250, 54, 474, 836]","Existing Data,,old_yolo_data",train,/ofs/images/tf_images/8f2010f5-3cc4-51b2-bb91-c55fadc5b603.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1c93f6e4-4271-5f1c-9d9e-3d6d737cb067.jpg,knee,"[150, 4, 340, 452]","merit_training_data,Existing Data,,merit_instock_dump",val,/ofs/images/tf_images/60fc392f-d966-5018-a344-9595b665c336.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3465ecda-032c-5732-8f35-154fe1690f58.jpg,thigh,"[69, 0, 602, 802]","Existing Data,,old_yolo_data",train,/ofs/images/tf_images/14048c7d-a89f-520c-974c-2f51fa040cce.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/06bced85-dac9-5c32-851c-4dc6918065cd.jpg,thigh,"[129, 98, 284, 379]","msd,,Existing Data,google,merit_3k_batch",train,/ofs/images/tf_images/0a9ef3e4-0157-510f-87ab-43ac096b0d33.jpg
