image_name,image_url,img_path_old,labels,labels_crops,source,img_path,status
934332bb-5fa2-5011-9d87-8dafa24e72bb.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/ffa0fecd-502e-553e-972d-e9588d3506a0.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/934332bb-5fa2-5011-9d87-8dafa24e72bb.jpg,A-Line,"[31, 41, 206, 554]",rtr,/ofs/images/tf_images/934332bb-5fa2-5011-9d87-8dafa24e72bb.jpg,train
a9520d90-e2ce-50a7-988a-7e5ae50aefca.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b55ea6d7-16f0-59cb-a19f-27a53d08a0b8.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/a9520d90-e2ce-50a7-988a-7e5ae50aefca.jpg,A-Line,"[131, 61, 917, 1667]",rtr,/ofs/images/tf_images/a9520d90-e2ce-50a7-988a-7e5ae50aefca.jpg,train
f3a589cf-3f12-578c-b841-48d9a08bb4d3.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/249821b0-3efc-5bfc-9417-8a29383afa67.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/f3a589cf-3f12-578c-b841-48d9a08bb4d3.jpg,A-Line,"[1115, 1075, 2002, 2741]",rtr,/ofs/images/tf_images/f3a589cf-3f12-578c-b841-48d9a08bb4d3.jpg,train
ae68cc77-0292-5643-88d9-1ca8adb9872f.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/02d3fb47-ef4f-5a50-8dd2-429abaa87a63.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/ae68cc77-0292-5643-88d9-1ca8adb9872f.jpg,Sheath,"[121, 107, 267, 449]",rtr,/ofs/images/tf_images/ae68cc77-0292-5643-88d9-1ca8adb9872f.jpg,train
23b85b6e-d10d-59d7-9274-67f3cfe27f86.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3380c101-636c-58aa-b9ba-c5442cc87ece.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/23b85b6e-d10d-59d7-9274-67f3cfe27f86.jpg,A-Line,"[1041, 1081, 2083, 2607]",rtr,/ofs/images/tf_images/23b85b6e-d10d-59d7-9274-67f3cfe27f86.jpg,train
3b21cd11-ef19-5a7c-b47f-b2997c99b58a.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4f5f17c4-a7f3-51b0-8ea0-7c77baf2654f.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/3b21cd11-ef19-5a7c-b47f-b2997c99b58a.jpg,Sheath,"[382, 305, 945, 1366]",rtr,/ofs/images/tf_images/3b21cd11-ef19-5a7c-b47f-b2997c99b58a.jpg,val
7544dbd4-9f18-5d9b-bd1b-bf5616f673ff.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/14f04ccd-c2df-5b9f-9c3c-8bb58acf8a85.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/7544dbd4-9f18-5d9b-bd1b-bf5616f673ff.jpg,A-Line,"[73, 99, 1046, 1741]",rtr,/ofs/images/tf_images/7544dbd4-9f18-5d9b-bd1b-bf5616f673ff.jpg,train
f359050b-a35a-538c-8e42-96e9be840de1.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1b6beb3b-adab-5ac2-a2fa-e89a56c8ed49.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/f359050b-a35a-538c-8e42-96e9be840de1.jpg,Sheath,"[60, 65, 181, 327]",rtr,/ofs/images/tf_images/f359050b-a35a-538c-8e42-96e9be840de1.jpg,train
2e736c4a-30bd-5682-9f07-8cdb22dbfe94.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/16258e03-056d-5b3a-92b2-767c66daa6a7.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/2e736c4a-30bd-5682-9f07-8cdb22dbfe94.jpg,A-Line,"[129, 94, 1014, 1735]",rtr,/ofs/images/tf_images/2e736c4a-30bd-5682-9f07-8cdb22dbfe94.jpg,train
c9e13a6a-fbd4-5896-9273-62be5a9bdfcd.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/abf2365e-45de-5267-b574-e7895c454875.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/c9e13a6a-fbd4-5896-9273-62be5a9bdfcd.jpg,A-Line,"[88, 91, 792, 1310]",rtr,/ofs/images/tf_images/c9e13a6a-fbd4-5896-9273-62be5a9bdfcd.jpg,train
98a460d2-97d7-5e84-a418-759dad1b828e.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/83d64b74-8eae-57f5-a3a2-be0c9ed20e84.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/98a460d2-97d7-5e84-a418-759dad1b828e.jpg,A-Line,"[21, 127, 952, 1700]",rtr,/ofs/images/tf_images/98a460d2-97d7-5e84-a418-759dad1b828e.jpg,train
abe4c3a5-6a76-5b5a-8c7f-63427250f83f.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/73f429df-47c2-5522-9aa7-1ed2e5ca226a.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/abe4c3a5-6a76-5b5a-8c7f-63427250f83f.jpg,Shift_Sack,"[399, 450, 1044, 1475]",rtr,/ofs/images/tf_images/abe4c3a5-6a76-5b5a-8c7f-63427250f83f.jpg,train
28b66149-b239-5e50-ad9b-58cd0b4866ef.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/0fb9ae0c-5d8b-521a-b56e-fbfdc02c972c.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/28b66149-b239-5e50-ad9b-58cd0b4866ef.jpg,Sheath,"[433, 319, 960, 1505]",rtr,/ofs/images/tf_images/28b66149-b239-5e50-ad9b-58cd0b4866ef.jpg,train
9f5b888f-5262-5c39-8a83-28fa93145a35.jpg,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/85b1bef1-af92-56fc-b444-df7407f4ee9f.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/DressType/DressType_v2/delta_images/9f5b888f-5262-5c39-8a83-28fa93145a35.jpg,A-Line,"[11, 7, 167, 300]",rtr,/ofs/images/tf_images/9f5b888f-5262-5c39-8a83-28fa93145a35.jpg,train
