image_url,labels,labels_crops,source,status
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5497dd85-aa2d-53dd-ba1a-39d353d342d5.jpg,medium,"[48, 110, 333, 349]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/72568811-b287-5549-be71-28543b126366.jpg,medium,"[23, 210, 864, 848]","e,,Existing Data",val
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/78c2beb2-ffbc-5f3f-bcf7-1f6c195ff562.jpg,high,"[2, 186, 856, 893]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/8c7aa47b-dad6-5001-a275-a339a7915cc4.jpg,low,"[15, 103, 864, 947]","e,,Existing Data",val
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9acd1125-adc9-59cc-a8d1-4b4690a2c137.jpg,flat,"[24, 148, 353, 402]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/17a90bfd-53af-59c3-870c-c92fa7d825a0.jpg,high,"[56, 33, 249, 226]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f37431fa-8712-5577-89cf-8a6df6fbb495.jpg,low,"[201, 373, 671, 696]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3d31bf31-7802-50dd-834a-ebfdf4af5507.jpg,high,"[34, 0, 572, 595]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/820db452-1241-580e-83af-813a7c3d4c2a.jpg,low,"[0, 98, 841, 952]","e,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f98d7d19-285d-5d7e-8b98-45c66e51f15a.jpg,flat,"[3, 110, 253, 235]","e,,Existing Data",train
