Unnamed: 0,image_url,labels_crops,labels,status
0,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2108216f-a0ca-57a1-a7da-677b20cfc76d.jpg,"[24, 43, 540, 590]",chunky,train
1,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/08e819d8-646c-5e4a-9da5-0d5f51268174.jpg,"[12, 6, 179, 96]",kitten,train
2,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a20b722e-ef08-50f5-bf64-ee8945b4d6de.jpg,"[11, 18, 452, 260]",not_visible,train
3,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b7be8d1e-cbce-523b-9fe3-ccfd44e4f0a4.jpg,"[749, 13, 1452, 1826]",wedges,train
4,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f37a5956-bad8-5ac7-8cae-2a9d557dd7f6.jpg,"[15, 80, 351, 270]",chunky,train
5,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/59016249-545f-5c17-8a7b-dc0f367f1ade.jpg,"[0, 108, 1230, 1352]",stiletto,train
6,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/69ddffa0-a8e0-53df-a4f6-de37b345df15.jpg,"[18, 128, 334, 304]",chunky,train
7,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f31a67cc-5002-5913-b95f-26db99451400.jpg,"[41, 8, 193, 152]",stiletto,train
8,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/7fc2bc14-eab6-5547-bb56-669d40bd538b.jpg,"[0, 64, 1230, 1406]",chunky,train
9,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a3d7c109-b30b-572b-b6cd-cd5e76cb88dc.jpg,"[36, 110, 305, 348]",chunky,train
10,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9441a705-d056-5c07-9d93-6e2b126cf1aa.jpg,"[54, 150, 236, 246]",not_visible,train
11,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/933d44ba-98ab-5392-bd5e-b131424310ad.jpg,"[19, 132, 102, 315]",chunky,train
12,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4f56d310-5748-5366-8906-f185d2a3f273.jpg,"[12, 70, 279, 312]",stiletto,val
14,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/36168e07-fa37-572b-a65a-2c0f8360c2d4.jpg,"[6, 7, 191, 87]",chunky,train
15,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/8de13df6-d561-5c99-ba93-01174060991f.jpg,"[0, 49, 854, 970]",chunky,val
16,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c374ee5d-6944-5cc4-8f97-80df33ff1e6f.jpg,"[14, 97, 1200, 1420]",chunky,train
17,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/54cad2e1-7dd3-5229-91f6-bdc0947bf1e5.jpg,"[11, 135, 331, 328]",stiletto,train
18,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/8d5d3bfa-4914-51ba-9b53-cea76eb9e09f.jpg,"[3, 7, 193, 86]",chunky,train
20,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a904c3d4-68aa-5d3f-938b-c3bdbcadff06.jpg,"[10, 43, 1200, 1247]",wedges,train
21,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a9845bb3-bb29-5555-8bbd-6c32e4d69aa6.jpg,"[101, 205, 831, 1140]",stiletto,train
22,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a220dd48-168b-5520-80b8-756217dd67e1.jpg,"[21, 111, 1207, 1391]",chunky,train
23,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c4966e2f-0cc1-5eae-85de-e21ea8174166.jpg,"[0, 147, 1230, 1319]",chunky,train
24,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3e0c22bd-ae56-5966-b655-b44428f3e826.jpg,"[17, 7, 144, 87]",wedges,train
26,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3c459fa2-deae-53df-acd5-1243a590043a.jpg,"[6, 138, 142, 241]",not_visible,train
27,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d48eb407-317e-55c5-b68b-2a07d5cd7919.jpg,"[447, 57, 962, 1427]",chunky,train
29,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b7f2e9ca-a251-5d5a-ac1b-053cb706a099.jpg,"[10, 122, 487, 382]",chunky,train
30,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9163f444-22cb-5233-83ad-d5213148897e.jpg,"[10, 355, 909, 1042]",stiletto,train
31,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/044610e4-7759-59b7-81ab-97e708a8ff8d.jpg,"[11, 84, 226, 270]",stiletto,train
32,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/cb93a6e4-42b0-523e-a8d2-03414f2a23de.jpg,"[68, 384, 880, 932]",wedges,train
33,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/91047cdd-26d0-595a-b20e-0f3c76023082.jpg,"[93, 86, 1230, 1420]",chunky,train
34,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e6eb9224-95e5-50a5-9650-dda7d741dd5f.jpg,"[79, 24, 266, 286]",wedges,train
36,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/aa23271a-85d0-5f54-b713-fa2ebb4499dd.jpg,"[192, 239, 745, 407]",chunky,val
38,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2f9eb8be-7b0b-5ce3-a729-88644615830b.jpg,"[41, 136, 349, 468]",not_visible,train
39,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3e28ff4d-ef02-59b4-8ea2-85bc529663c0.jpg,"[0, 88, 333, 369]",wedges,train
40,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/177504b5-348d-5efe-84fe-b21161f12f4d.jpg,"[21, 17, 287, 228]",stiletto,train
41,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/79062b6c-dc57-57f4-b8e9-db7ab58ad67b.jpg,"[108, 122, 1103, 1406]",wedges,train
42,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/693efb8a-75d0-5f48-9a38-469de27f15cb.jpg,"[41, 115, 561, 550]",chunky,train
43,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b6ef589d-d448-59e1-8492-4b4cbaa03fb4.jpg,"[0, 61, 1230, 1391]",stiletto,train
45,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5678ec94-1ef9-54f9-92f5-3b6e69844062.jpg,"[46, 30, 460, 507]",stiletto,train
46,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4d4dda94-2d90-5aa7-b06b-5f4f5235e711.jpg,"[64, 26, 235, 167]",stiletto,train
48,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d065682c-73c5-5d7d-93db-466b59d9a840.jpg,"[115, 435, 490, 951]",chunky,val
50,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/0a8d2c11-1174-5147-9ec1-59d4b2ad216b.jpg,"[23, 36, 500, 780]",stiletto,train
51,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e2df3dcc-effe-594d-911d-4d6a8d435ba3.jpg,"[0, 368, 1000, 987]",chunky,train
52,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/166d918a-02e6-50ba-b094-47de5b623f84.jpg,"[19, 12, 212, 176]",stiletto,train
53,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/60890b4b-073b-5520-ad04-53bcdc33958e.jpg,"[8, 32, 432, 245]",chunky,train
54,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/afeb1c33-b04d-53dd-84e4-03c00d42b1ad.jpg,"[63, 260, 724, 893]",wedges,train
55,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/73a30120-e419-5bfc-b6ec-6871883cd6fd.jpg,"[28, 28, 451, 265]",kitten,train
56,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3123bab8-0577-56d3-b8a4-9481e28f7b06.jpg,"[185, 0, 776, 1324]",chunky,val
57,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1e112b58-fe3f-508b-baa9-dbc5373e62ae.jpg,"[9, 29, 219, 144]",stiletto,train
58,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/818a86c7-7ec2-54b8-a606-a0630e9ad3d8.jpg,"[0, 439, 1000, 891]",kitten,train
59,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/43262b49-ebcf-580e-8a5b-35f83cd2e332.jpg,"[0, 519, 1000, 840]",chunky,train
60,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/316cb202-c324-5623-8455-47c5c015985f.jpg,"[37, 31, 396, 225]",wedges,train
61,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/902908c5-87ec-559c-9dfb-3e1fff692e4c.jpg,"[3, 95, 288, 392]",chunky,train
62,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2699c168-f7e3-5351-acc6-16e4e0bbfcea.jpg,"[105, 258, 1094, 1195]",stiletto,train
63,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/57615661-c555-5892-9f56-16bf11416017.jpg,"[104, 221, 200, 274]",chunky,train
64,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2795bb9d-9be1-546c-8577-681c19643d10.jpg,"[123, 6, 222, 230]",not_visible,val
65,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a4974f5c-8ab0-5172-9654-274ebb2b2b19.jpg,"[66, 0, 885, 1070]",stiletto,train
66,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/39a660b3-9cbc-52c4-8179-74987e3f133b.jpg,"[11, 50, 210, 239]",stiletto,train
67,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4b2f3634-ec2f-56aa-8264-fde23556f486.jpg,"[67, 144, 763, 519]",stiletto,val
68,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/84efc838-bb75-5b4b-b2dc-85479be6317b.jpg,"[32, 248, 1222, 1262]",wedges,train
69,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/7694ef42-55c1-50f3-a7f2-820df558edb0.jpg,"[164, 746, 1313, 1348]",chunky,train
70,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/89a4994d-81d1-5f13-8660-09a978840a85.jpg,"[38, 230, 881, 1045]",stiletto,train
71,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/98353f5d-6136-58ce-9bab-90e1edaaa1db.jpg,"[14, 9, 376, 386]",chunky,train
72,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/6030a748-0afc-5061-9328-871117320bba.jpg,"[16, 10, 157, 111]",stiletto,train
73,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/dfc452d4-1dfd-58e9-8b05-eb40c011d8f9.jpg,"[75, 275, 767, 771]",not_visible,train
74,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f6d85052-ce92-5013-8789-db806dbf649e.jpg,"[14, 9, 198, 182]",stiletto,val
75,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/6e722023-7ab6-5613-97bf-a8011c33f2c1.jpg,"[97, 156, 846, 1049]",wedges,train
76,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b1c4b567-49ff-5a86-bdf2-7b16c30dce6c.jpg,"[73, 278, 906, 1031]",chunky,train
77,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4c2b6b2b-df26-5de2-8a09-df244bc0320d.jpg,"[0, 447, 1230, 1034]",chunky,val
78,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/38273bdb-d4ab-50bf-aad3-6550bf0a6cd9.jpg,"[26, 32, 282, 242]",stiletto,train
80,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c9ef8d05-e013-510d-99ad-87da81e6c8ba.jpg,"[50, 60, 457, 285]",stiletto,train
81,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b1eb1207-9bfe-54c4-8aeb-e313c3fd71d4.jpg,"[3, 250, 965, 1074]",chunky,train
82,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d97092c4-3d6a-59ee-853f-0c806ab41a5b.jpg,"[13, 214, 312, 343]",chunky,train
83,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2984a17d-6b43-51e1-a9e8-c500b3a2f3ef.jpg,"[0, 59, 864, 1028]",stiletto,train
84,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/31955f2f-086e-55ce-87ff-d5df2f33ce17.jpg,"[276, 107, 786, 540]",not_visible,train
85,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5b8c4e25-db0b-5dbe-a5da-f0e4eed7059b.jpg,"[96, 179, 697, 712]",wedges,train
86,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e916e66a-6736-592f-b035-5e20b1647c3a.jpg,"[27, 128, 565, 434]",chunky,train
88,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/b1a07199-a2c2-51c5-a49c-8db1dc770be4.jpg,"[25, 5, 273, 305]",chunky,train
90,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/dc8abc7b-3054-57cb-962e-2ab7a92234f3.jpg,"[25, 0, 542, 426]",stiletto,train
91,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3eacc529-c47a-5667-8e0b-22b8ae509f1c.jpg,"[54, 113, 955, 866]",wedges,train
92,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/01e71829-5ac6-5254-af14-a51679d161f1.jpg,"[0, 282, 519, 758]",chunky,train
93,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/bb147146-da17-506e-a54c-ae420eeb3573.jpg,"[37, 10, 430, 396]",wedges,train
