neckline_loc,labels_crops,neckline_loc_conf,image_name,image_url,img_path,labels,labels_crops_old,status
scoop_neck,"[166, 163, 759, 780]",0.856626689434,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/ecedaf4c-d2a2-5e85-8f30-77580a64f63e.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12766472-15140132-thickbox.jpg,v_neck,"[148, 142, 789, 826]",train
v_neck,"[69, 87, 847, 908]",0.599113106728,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/08d0fbfb-143c-58e7-ab66-0ed191cd9c55.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12749086-15103680-thickbox.jpg,collared,"[51, 69, 856, 859]",train
off_shoulder,"[102, 60, 808, 768]",0.304622471333,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/8dacafb1-0e96-5c0d-a12d-00f2a1fc800a.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12766718-15141322-thickbox.jpg,square_neck,"[87, 124, 832, 950]",train
crewneck,"[42, 154, 853, 914]",0.592905640602,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/dac9e3b8-beee-552e-8cfe-4dc3137200f3.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12769218-15145690-thickbox.jpg,crewneck,"[24, 154, 871, 962]",train
crewneck,"[111, 81, 768, 602]",0.297568649054,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/b65ee345-f9c0-5fda-81f7-ac1fbe6238b8.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12740734-15084784-thickbox.jpg,crewneck,"[0, 99, 895, 959]",train
boatneck_bateau,"[54, 145, 832, 862]",0.487791538239,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/77ab687b-be24-590d-b5c1-c97a06ad48f9.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12770296-15147306-thickbox.jpg,crewneck,"[45, 172, 829, 971]",train
collared,"[93, 151, 802, 883]",0.807029187679,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/bc0fa510-2a11-5991-865e-453486c50f80.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12749884-15105190-thickbox.jpg,collared,"[63, 154, 835, 926]",train
crewneck,"[21, 133, 838, 944]",0.519651889801,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/12c27abf-f4c8-5ac5-8f83-fecd2aa4739b.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12748680-15104374-thickbox.jpg,crewneck,"[18, 124, 823, 968]",val
strapless,"[118, 78, 799, 865]",0.2622846663,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/a422b75b-086b-5b6f-852e-173b1f588098.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12738726-15086422-thickbox.jpg,crewneck,"[121, 36, 814, 802]",train
scoop_neck,"[96, 39, 793, 853]",0.677486181259,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/3dfa673f-e98e-518a-aa3a-02b4685091f8.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12766432-15140214-thickbox.jpg,scoop_neck,"[54, 69, 844, 898]",train
crewneck,"[78, 175, 780, 871]",0.544982790947,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/62233fed-2ab0-5b2d-90a6-58f8374748e3.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12767856-15142572-thickbox.jpg,crewneck,"[3, 163, 832, 1035]",train
off_shoulder,"[93, 84, 729, 762]",0.222775161266,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/2de35679-6522-56f0-9c79-e7c211944486.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12767798-15141832-thickbox.jpg,crewneck,"[72, 111, 774, 817]",train
v_neck,"[78, 99, 859, 947]",0.239486560225,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/4fd93119-b695-5c34-a247-16ee26add261.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12767760-15141732-thickbox.jpg,collared,"[0, 130, 904, 998]",train
square_neck,"[39, 108, 814, 883]",0.875456869602,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/3e6a490b-bc9f-56ec-b138-ef0ee88ac6d4.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12766580-15140522-thickbox.jpg,square_neck,"[57, 133, 805, 886]",train
highneck,"[127, 12, 765, 847]",0.208406984806,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/441b1bfc-931d-5a9b-9352-cf80a40621df.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12767210-15144468-thickbox.jpg,crewneck,"[133, 0, 820, 687]",train
crewneck,"[108, 154, 814, 959]",0.427700698376,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/1dea80e8-942a-51e7-a2ca-091a27438252.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12745542-15099620-thickbox.jpg,crewneck,"[105, 193, 826, 929]",train
scoop_neck,"[108, 145, 780, 750]",0.694867968559,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/bb0e3eee-2046-5c52-ad66-49ac80830566.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12764660-15137406-thickbox.jpg,crewneck,"[39, 111, 844, 938]",train
crewneck,"[36, 57, 892, 856]",0.412039995193,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/046932f4-2b86-5b99-bf81-e0323f3f6dff.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12767214-15145004-thickbox.jpg,crewneck,"[30, 75, 874, 844]",train
crewneck,"[66, 190, 832, 1074]",0.631970703602,,https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/twoface_migrations/old_training_data/cab6dcd4-2b7c-5474-a5a6-e67fff0cd659.jpg,/mnt/train_hdd4/TRAINING_DATA/networks/msd/Neckline/Neckline_v35/images/12770056-15145728-thickbox.jpg,crewneck,"[63, 199, 859, 1023]",val
