image_url,labels,labels_crops,source,status,img_path
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/8ca13222-2a95-5095-882d-2e58171da4dc.jpg,cardigans_shrugs,"[6, 204, 503, 455]","Existing Data,",train,/ofs/images/tf_images/2747cf1c-45ef-59e5-bf42-abd987ac4ed7.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/0c4355ef-318a-560a-9369-867713e229fc.jpg,jackets,"[120, 11, 504, 634]","Existing Data,",train,/ofs/images/tf_images/983c2329-a52a-59ab-aa84-f293d5340a5f.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d2ac1a2e-780f-59b8-b9bf-e3d0f970148c.jpg,coats,"[132, 160, 415, 582]","Existing Data,",train,/ofs/images/tf_images/1b557a63-1b4a-5500-962b-c3203b268430.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/352b1bfa-501e-52c6-951b-27b2cc2ec38f.jpg,coats,"[17, 4, 142, 220]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/a9e15b37-dfc0-5759-800b-3c955b4d4958.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/ec87341a-b628-54b3-98c2-9444961b5a55.jpg,jackets,"[105, 157, 390, 542]","Existing Data,",val,/ofs/images/tf_images/ee96806a-141f-51a8-bb26-a7fb0e91f957.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/7e9df911-5e83-52ef-8e8e-da399832bb9b.jpg,coats,"[377, 175, 2239, 3892]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/052e7d1c-23b7-5b08-9304-fe22a2b20394.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3e4d97fd-7362-5660-b757-bed716fe25b1.jpg,blazers,"[168, 70, 334, 262]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/1bcf17d9-48b4-5743-9e32-f9a922e11c62.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/6d2aa2f4-33ea-5d32-a837-a1c783027487.jpg,blazers,"[52, 70, 269, 355]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/261b1b2d-9dc3-5b83-b013-2200ca1d8096.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a55ff432-4bff-5499-ac1d-486c3bf7ebbf.jpg,cardigans_shrugs,"[392, 437, 1326, 1968]","outerwear style training data,,Existing Data",val,/ofs/images/tf_images/5609fe79-3d87-5bb0-88dd-7c9c173e7e2d.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4b472565-bc66-54e7-9f21-99eb23ead8cd.jpg,sweatshirt,"[55, 137, 417, 597]","outerwear style training data,,top style training data,train,Existing Data,Existing Training Data",train,/ofs/images/tf_images/4a1b8759-90f5-58fc-9da1-df197709510a.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1ce617f8-a93f-525a-abec-0cfc88dcd920.jpg,coats,"[719, 4, 1859, 2688]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/86ec46d6-e7fa-5383-872f-76de0fc175f6.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1c5dc9a8-3c2e-5862-8408-f3c4910cf753.jpg,coats,"[279, 0, 2348, 3798]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/a638420b-cac4-553f-9373-67f3d7ee8756.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/69a36d69-cf29-5cbb-a90e-20ae7ad367c6.jpg,blazers,"[8, 22, 221, 196]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/aa512f3c-83fb-5c39-aebb-53f441b23d4e.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/8525a62a-b47a-5ca4-b65c-1b576fbd6806.jpg,coats,"[10, 31, 531, 887]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/7e454304-ac28-52b4-9bab-a8468c6b5be1.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/12bc4a73-ea11-5544-9033-b3287268cd99.jpg,jackets,"[1452, 302, 2122, 1025]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/8087525d-6b73-57f2-a29d-0665729bf563.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f1adc381-5f9a-59d9-940a-7226bf16378f.jpg,coats,"[120, 104, 384, 646]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/97bb4dd9-aecf-501f-ab7e-428dfdc2921f.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f295e5fe-a61f-596d-a82a-09f7cb0ddf96.jpg,coats,"[71, 27, 1056, 1536]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/a4e875ff-a78c-5a67-8103-9e08fe87f5a5.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/110f97f0-0c0b-5e1c-a1d3-ff4fe3d152dd.jpg,cardigans_shrugs,"[8, 16, 226, 377]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/97a95ee3-0d55-5be2-9001-8f9f0a661cef.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/55c699a1-0be2-55ad-8848-dabbc2ec6036.jpg,coats,"[51, 90, 357, 622]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/6331afa1-4861-5e49-b606-c8404d952468.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/00d8c481-e6d2-5a51-90f1-12e5af01da5f.jpg,coats,"[54, 71, 382, 608]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/08d70649-2825-51da-9b73-37d50bdf57bd.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/00d8c481-e6d2-5a51-90f1-12e5af01da5f.jpg,coats,"[422, 82, 741, 605]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/08d70649-2825-51da-9b73-37d50bdf57bd.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/084fb0d3-c013-5320-9c7e-11c4337c8327.jpg,jackets,"[1168, 290, 2336, 1660]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/37d866b0-f4d6-51f2-a17d-8f0a48e3f4c0.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f995166c-fbaf-5232-b3a2-b1afbeda087c.jpg,jackets,"[10, 19, 252, 297]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/6430f986-7f74-579c-a164-a4acc6c328cd.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5c1e9ffc-256c-5548-815e-16878d5316cc.jpg,coats,"[171, 87, 933, 1568]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/71cbe620-b0af-58ff-a8a9-f73672bda951.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d24d323b-b15e-56a7-a554-697cb1d331f1.jpg,cardigans_shrugs,"[45, 98, 243, 460]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/32504de0-a57f-5b59-97ae-e374264cecc1.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d24d323b-b15e-56a7-a554-697cb1d331f1.jpg,cardigans_shrugs,"[273, 101, 552, 427]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/32504de0-a57f-5b59-97ae-e374264cecc1.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3e8927af-66db-55db-8a3a-8a6e0e0bb9a4.jpg,blazers,"[321, 331, 1065, 1282]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/bb5c7b5b-43ec-577a-8ca4-9cf495fd0ba2.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/28105d8c-0d74-5dbc-a9ee-eea08f91b823.jpg,coats,"[295, 218, 476, 542]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/d91440c3-caf7-59b7-8da3-6cc6022a0b3c.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2a7a935a-adae-5ff2-86b5-e5738127e12c.jpg,jackets,"[20, 3, 196, 217]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/7f427735-9c16-5003-a753-af8cc8a0beba.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/d3513496-cbb6-5ce0-9aa8-3270042067a6.jpg,coats,"[133, 141, 372, 550]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/3286bc0a-6111-59cc-8c6b-12669c69a0ea.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/51c9064f-8281-55f4-a9b5-81d3e17b5171.jpg,cardigans_shrugs,"[172, 203, 450, 716]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/0881d4ee-ee68-5373-aab8-7a26bfe9ee80.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/40a11505-8a30-5197-9cb5-f713037cdcf8.jpg,sweatshirt,"[26, 5, 298, 401]","outerwear style training data,,top style training data,Existing Data",train,/ofs/images/tf_images/f74b0cc3-3e25-5267-983d-edcd03324bc0.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f4517862-7017-5cb8-b813-1c86b95867de.jpg,jackets,"[13, 3, 87, 95]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/f9c7fb57-42bb-5153-8ee6-561b8581980d.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/1f6fcc46-9e10-552c-a536-0543b624d727.jpg,jackets,"[60, 100, 513, 590]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/8bf916cf-81ac-5dd4-802a-22ab35bf625e.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/39d30ab4-3bbd-5793-a70e-d45d4997f1ca.jpg,jackets,"[256, 101, 2320, 3339]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/e15d960d-8bbd-5616-8d4c-e9e21766d706.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f73b6f9e-64f4-598b-b26a-3cd5577d91c7.jpg,coats,"[75, 43, 330, 443]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/bff1a700-32e3-5776-a5df-840f4caab3e7.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5f9d03cd-da4a-5083-8400-a2e10e0146c2.jpg,jackets,"[26, 9, 207, 268]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/f109e502-f4c1-5151-8062-2d7d3650607a.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/351b259a-9e7f-5bd2-b823-f345d9bcab12.jpg,jackets,"[39, 129, 285, 451]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/b2fea58c-df92-52bb-964d-ee9dc92216bb.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f9e8b348-3262-53b2-98fb-7abb05ed0ec5.jpg,jackets,"[1446, 254, 2033, 1031]","outerwear style training data,,Existing Data",val,/ofs/images/tf_images/7f7f2e6d-e647-5803-84f4-526836d15f1e.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/744e751f-7675-5010-93dd-8cd058252817.jpg,cardigans_shrugs,"[303, 194, 607, 780]","outerwear style training data,,Existing Data",val,/ofs/images/tf_images/c072c3de-f2ae-5e2d-83d3-f83515789798.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e25d18d8-0231-5b66-bd3c-1df36359511e.jpg,blazers,"[345, 827, 548, 1092]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/2a66f330-1d88-58f4-a316-48ee3f9e793b.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2ee8d6b0-740c-5fe1-90ec-3bd31da31727.jpg,cardigans_shrugs,"[284, 259, 613, 786]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/815df4d7-e000-5aad-ba61-541a3482ef86.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/a34596e1-8b52-5d85-b3e0-580f31b98b82.jpg,jackets,"[1162, 148, 2401, 1452]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/4d26c848-ada7-5cf0-ab72-0056810f0ba3.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/031ce578-8d04-5866-8e88-57ea47c3044f.jpg,cardigans_shrugs,"[281, 237, 578, 786]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/05a19fc6-fbb7-5860-a52a-44390bdfbe4d.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/484e452a-de42-55d3-b64a-41ac52343b92.jpg,blazers,"[325, 55, 551, 403]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/6607f816-713a-5db4-a5de-a64a5b36b194.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/484e452a-de42-55d3-b64a-41ac52343b92.jpg,blazers,"[31, 67, 260, 396]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/6607f816-713a-5db4-a5de-a64a5b36b194.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5ce2c8f1-b96d-5e2d-a5fe-1afc5a90ae40.jpg,jackets,"[1, 108, 233, 477]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/24d6c1dd-f8ec-554b-9db7-cf7106494b02.jpg
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/5ce2c8f1-b96d-5e2d-a5fe-1afc5a90ae40.jpg,blazers,"[214, 126, 478, 478]","outerwear style training data,,Existing Data",train,/ofs/images/tf_images/24d6c1dd-f8ec-554b-9db7-cf7106494b02.jpg
