image_url,labels,labels_crops,source,status
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c4cd7899-a9ab-59be-93aa-f2f5e040be31.jpg,square,"[364, 26, 795, 638]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/e623e705-ee38-5473-a099-89040650ca8b.jpg,round,"[67, 100, 379, 258]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/75b09386-b249-53fe-98f0-1b6e6e71bddc.jpg,round,"[76, 238, 400, 528]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/34e4d7c0-5cad-5e08-9884-2d2341ea577b.jpg,pointed,"[41, 50, 147, 349]","Existing Data,",val
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3f7eaec8-fa8f-5fba-8e5e-1c304c028dca.jpg,square,"[100, 146, 540, 493]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/16471c08-feae-5415-a82c-2f39303805b4.jpg,pointed,"[17, 18, 356, 302]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/4bb6751e-ba2c-59f3-8e92-1a0bbf014f70.jpg,round,"[0, 92, 598, 526]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/096ce5e5-3ef6-5ca5-95c4-5ee3ffbc72e3.jpg,pointed,"[55, 265, 321, 721]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/aac2f416-fa27-5797-a545-be7c7045d624.jpg,round,"[88, 466, 805, 893]","percentil,,Existing Data",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/58d5f04f-7d3e-5721-907f-4df59c0261e3.jpg,round,"[486, 161, 620, 578]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/eb7c46ea-01ff-5218-bdfa-0c883a059957.jpg,square,"[9, 20, 152, 290]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/590811aa-86d1-55de-99bb-20a18d56fda7.jpg,pointed,"[46, 24, 389, 313]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/46ae6491-d7aa-5807-9148-87d92eef05bf.jpg,round,"[313, 23, 798, 265]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/c571d265-304e-5df9-83d2-f6e033f8e781.jpg,round,"[68, 124, 234, 216]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/7d5e1320-b07d-5dba-93d0-52b72dbd912d.jpg,square,"[22, 1, 230, 282]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3b7240f1-7571-5f5d-b37c-1732bab2bfd5.jpg,pointed,"[169, 25, 648, 473]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/3a006b3d-1ad3-5e69-9586-de68284a6e9a.jpg,pointed,"[38, 209, 584, 575]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/2cec70cf-9fb6-522e-88e6-cc41d4c093ea.jpg,square,"[93, 21, 193, 233]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/f08550a4-895b-55c3-9d03-cfa2a41b5510.jpg,pointed,"[16, 311, 659, 903]","Existing Data,",train
https://s3-ap-southeast-1.amazonaws.com/msd-cvteam-apse/images/9d8b9e5f-3411-55fb-b1f5-c206d39b7578.jpg,round,"[20, 139, 377, 441]","Existing Data,",train
